User Name,Resource Group Name,Subscription Id,Subscription Name,Service Name,Resource Id,Resource Type,Resource Location,Service Family,Meter,Product,Cost (INR)
,rg-azuser2550_mml.local-n1lip,2a3c6418-97b9-4d96-a24b-2c2d7633d375,MML Learners,Storage,/subscriptions/2a3c6418-97b9-4d96-a24b-2c2d7633d375/resourcegroups/rg-azuser2550_mml.local-n1lip/providers/microsoft.compute/disks/testvm_disk1_8a5146db262b4b8caf95a1d59eef4537,microsoft.compute/disks,in central,Storage,P10 LRS Disk,Premium SSD Managed Disks - P10 - IN Central,2.14093705769999
,rg-azuser2550_mml.local-n1lip,2a3c6418-97b9-4d96-a24b-2c2d7633d375,MML Learners,Virtual Network,/subscriptions/2a3c6418-97b9-4d96-a24b-2c2d7633d375/resourcegroups/rg-azuser2550_mml.local-n1lip/providers/microsoft.network/publicipaddresses/testvm-ip,microsoft.network/publicipaddresses,in central,Networking,Standard IPv4 Static Public IP,IP Addresses - Standard IPv4,0.396602885416665
